review_id,user_id,product_id,rating,review_text,fake
1,U1,P1,5,Excellent product highly recommended,0
2,U2,P1,5,Excellent product highly recommended,1
3,U3,P1,5,Excellent product highly recommended,1
4,U4,P2,1,Terrible quality waste of money,0
5,U5,P3,4,Good product worth buying,0
6,U1,P2,5,Amazing quality and fast delivery,1
7,U1,P3,5,Amazing quality and fast delivery,1
8,U1,P4,5,Amazing quality and fast delivery,1
9,U6,P5,2,Not as described disappointed,0
10,U7,P5,2,Not as described disappointed,1
11,U8,P6,5,Best purchase ever highly recommended,0
12,U9,P6,5,Best purchase ever highly recommended,1